bereich,bereich_ordner,inhaltsfeld,inhaltsfeld_ordner,thema,themenordner,status,hauptquelle
Qualifikationsphase – Grundkurs (Q1/Q2),q1-q2-grundkurs,Analytische Geometrie und Lineare Algebra,02-analytische-geometrie-und-lineare-algebra,Ebenen in Parameter- und Koordinatenform; Normalenvektor,02-ebenen-parameter-und-koordinatenform,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Grundkurs (Q1/Q2),q1-q2-grundkurs,Analytische Geometrie und Lineare Algebra,02-analytische-geometrie-und-lineare-algebra,Schnittwinkel; Schnittpunkte von Geraden und Ebenen,03-schnittwinkel-und-schnittpunkte,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Grundkurs (Q1/Q2),q1-q2-grundkurs,Analytische Geometrie und Lineare Algebra,02-analytische-geometrie-und-lineare-algebra,Lineare Gleichungssysteme und algorithmisches Lösungsverfahren,04-lineare-gleichungssysteme-und-gauss,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Grundkurs (Q1/Q2),q1-q2-grundkurs,Stochastik,03-stochastik,"Urnenmodelle, Baumdiagramme, Vierfeldertafeln, bedingte Wahrscheinlichkeit, Pfadregeln",01-mehrstufige-zufallsexperimente-wiederholung-und-vertiefung,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Grundkurs (Q1/Q2),q1-q2-grundkurs,Stochastik,03-stochastik,"Diskrete Zufallsgrößen; Erwartungswert, Varianz und Standardabweichung",02-zufallsgroessen-und-kenngroessen,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Grundkurs (Q1/Q2),q1-q2-grundkurs,Stochastik,03-stochastik,Binomialverteilung; Kenngrößen und Histogramme,03-binomialverteilung,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Funktionen und Analysis,01-funktionen-und-analysis,"Ganzrationale, Exponential-, Sinus- und Kosinusfunktionen",01-ganzrationale-exponential-und-trigonometrische-funktionen,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Funktionen und Analysis,01-funktionen-und-analysis,"Produktregel, Kettenregel, Funktionenscharen",02-produktregel-kettenregel-und-funktionenscharen,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Funktionen und Analysis,01-funktionen-und-analysis,Extremwertprobleme und Rekonstruktion von Funktionstermen,03-extremwertprobleme-und-steckbriefaufgaben,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Funktionen und Analysis,01-funktionen-und-analysis,"Natürliche Logarithmusfunktion, Umkehrfunktionen und rationale Potenzfunktionen",04-logarithmus-und-umkehrfunktionen,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Funktionen und Analysis,01-funktionen-und-analysis,"Produktsumme, orientierte Fläche, Bestandsfunktion und Integralfunktion",05-integralbegriff-und-integralfunktion,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Funktionen und Analysis,01-funktionen-und-analysis,"Stammfunktion, bestimmtes Integral und Hauptsatz der Differential- und Integralrechnung",06-stammfunktionen-bestimmtes-integral-und-hauptsatz,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Analytische Geometrie und Lineare Algebra,02-analytische-geometrie-und-lineare-algebra,"Skalarprodukt, Orthogonalität und Winkel",01-skalarprodukt-und-winkel,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Analytische Geometrie und Lineare Algebra,02-analytische-geometrie-und-lineare-algebra,"Ebenen in Parameter-, Koordinaten- und Normalenform",02-ebenen-parameter-koordinaten-und-normalenform,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Analytische Geometrie und Lineare Algebra,02-analytische-geometrie-und-lineare-algebra,Schnittwinkel und Schnittpunkte von Geraden/Ebenen,03-schnittwinkel-und-schnittpunkte,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Analytische Geometrie und Lineare Algebra,02-analytische-geometrie-und-lineare-algebra,"Lagebeziehungen und Abstände zwischen Punkten, Geraden und Ebenen",04-lagebeziehungen-und-abstaende,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Analytische Geometrie und Lineare Algebra,02-analytische-geometrie-und-lineare-algebra,Lineare Gleichungssysteme und algorithmische Lösungsverfahren,05-lineare-gleichungssysteme-und-gauss,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Stochastik,03-stochastik,"Urnenmodelle, Baumdiagramme, Vierfeldertafeln, bedingte Wahrscheinlichkeiten und Pfadregeln",01-mehrstufige-zufallsexperimente,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Stochastik,03-stochastik,"Diskrete Zufallsgrößen; Erwartungswert, Varianz und Standardabweichung",02-zufallsgroessen-und-kenngroessen,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Stochastik,03-stochastik,"Binomialkoeffizient, Binomialverteilung, Histogramme und σ-Regeln",03-binomialverteilung-und-sigma-regeln,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Stochastik,03-stochastik,"Prognoseintervall, Konfidenzintervall und Stichprobenumfang",04-beurteilende-statistik,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
Qualifikationsphase – Leistungskurs (Q1/Q2),q1-q2-leistungskurs,Stochastik,03-stochastik,"Dichtefunktion, Gaußsche Glockenkurve, Parameter μ und σ, Verteilungsfunktion",05-normalverteilung,KLP 2023; Q1/Q2-Reihenfolge schulisch festzulegen,https://lehrplannavigator.nrw.de/system/files/media/document/file/gost_klp_m_2023_06_07.pdf
